meter_id,building_id,power_kw,voltage,current,status,timestamp
MTR1002,BLD201,7.35,110,39.92,ACTIVE,16/05/2026 19:50
MTR1001,BLD208,19.07,,46.59,ACTIVE,16/05/2026 20:56
MTR1001,BLD208,19.07,,46.59,ACTIVE,16/05/2026 20:56
MTR1010,,5.82,230,12.29,FAULT,16/05/2026 18:33
MTR1005,BLD200,17.6,110,29.01,FAULT,INVALID_DATE
MTR1003,BLD204,1.09,110,8.46,INACTIVE,16/05/2026 19:22
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1005,BLD200,7.63,230,12.18,ACTIVE,05-16-2026 20:09
MTR1001,BLD210,10.21,220,34.08,INACTIVE,16/05/2026 18:38
MTR1010,BLD207,7.92,220,18.84,INACTIVE,2026-05-16 21:06:43
MTR1002,BLD201,10.91,220,27.81,INACTIVE,05-16-2026 18:43
MTR1009,BLD200,15.35,,45.28,INACTIVE,INVALID_DATE
MTR1004,BLD207,11.91,,41.34,INACTIVE,05-16-2026 19:00
MTR1004,BLD207,11.91,,41.34,INACTIVE,05-16-2026 19:00
MTR1001,BLD204,19.48,220,25.66,INACTIVE,16/05/2026 19:26
MTR1005,BLD205,2.5,,20.74,ACTIVE,05-16-2026 20:35
MTR1009,BLD205,12.88,110,22.47,ACTIVE,16/05/2026 19:06
MTR1008,BLD209,8.34,110,43.85,FAULT,05-16-2026 18:57
MTR1010,BLD200,3.75,110,34.16,INACTIVE,16/05/2026 18:57
MTR1004,BLD208,12.71,110,9.31,FAULT,05-16-2026 20:43
MTR1002,BLD207,15.37,110,10.46,FAULT,2026-05-16 20:15:45
MTR1000,BLD206,NAN,110,38.37,FAULT,16/05/2026 20:02
