meter_id,building_id,power_kw,voltage,current,status,timestamp
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1000,BLD204,15.32,110,1.02,FAULT,05-16-2026 19:49
MTR1006,BLD205,4.38,9999,25.92,FAULT,16/05/2026 20:35
MTR1009,BLD203,7.94,,43.64,INACTIVE,05-16-2026 19:27
MTR1004,,NAN,220,17.21,ACTIVE,16/05/2026 20:36
MTR1010,BLD201,6.92,110,4.91,FAULT,16/05/2026 20:22
CORRUPT,,NOT_A_NUMBER,9999,NAN,UNKNOWN,NOT_A_DATE
MTR1003,,4.61,230,9.58,FAULT,05-16-2026 21:05
MTR1006,BLD201,5.88,220,11.69,FAULT,05-16-2026 20:39
MTR1008,BLD200,8.34,110,6.63,INACTIVE,2026-05-16 20:29:14
MTR1003,BLD210,1.49,230,29.14,INACTIVE,16/05/2026 18:41
MTR1001,BLD201,2.68,110,18.64,FAULT,16/05/2026 20:19
MTR1003,BLD200,14.36,230,43.88,INACTIVE,05-16-2026 21:02
MTR1003,BLD200,14.36,230,43.88,INACTIVE,05-16-2026 21:02
MTR1004,BLD207,-15.42,220,2.63,INACTIVE,16/05/2026 19:28
MTR1000,BLD202,5.15,,30.69,ACTIVE,2026-05-16 19:09:13
MTR1009,BLD203,6.59,230,10.29,FAULT,2026-05-16 20:59:43
MTR1009,BLD204,14.75,110,5.09,INACTIVE,16/05/2026 18:25
MTR1000,BLD200,15.63,110,38.2,INACTIVE,2026-05-16 20:32:42
MTR1003,BLD205,7.43,,22.19,INACTIVE,16/05/2026 19:36
MTR1006,BLD209,3.12,220,44.95,FAULT,16/05/2026 19:04
