transaction_id,customer_id,product_id,quantity,unit_price,total_amount,currency,payment_method,status,timestamp,location
F9E9B660,CUST-6859,PROD-181,20,564.15,11283.0,NONE,CREDIT_CARD,PENDING,05/09/2026 04:43:50 AM,
E838E066,CUST-4932,PROD-648,8,905.12,7240.96,NONE,DEBIT_CARD,COMPLETED,2026-05-09T04:30:01.196572,Tokyo
96F1217C,,PROD-463,44,305.53,13443.32,,CREDIT_CARD,COMPLETED,2026-05-09T04:55:09.196572,London
2B1EC7CD,,PROD-691,25,705.52,17638.0,???,,PENDING,2026-05-09T04:38:30.196572,London
A5AEB12B,CUST-6549,PROD-618,45,527.2,23724.0,GBP,DEBIT_CARD,FAILED,2026-05-09 04:26:08,Tokyo
CBADB47F,CUST-1715,PROD-571,N/A,560.0,0,JPY,CASH,PENDING,2026-05-09T04:13:36.196572,New York
1003,CUST-9511,PROD-853,32,870.18,27845.76,EUR,CASH,FAILED,05/09/2026 04:07:45 AM,London
37A5B63B,CUST-4629,PROD-113,22,,0,USD,DEBIT_CARD,,2026-05-09 04:26:47,New York
1050,CUST-7715,PROD-495,9,,0,,CASH,,05/09/2026 04:58:16 AM,London
21CDFA30,CUST-6899,PROD-849,N/A,297.43,0,EUR,CREDIT_CARD,,2026-05-09 04:14:45,Tokyo
1022,CUST-4356,PROD-332,N/A,48.46,0,USD,CASH,,05/09/2026 04:12:51 AM,London
83EDDFAB,CUST-9180,PROD-941,39,645.17,25161.63,GBP,PAYPAL,PENDING,2026-05-09 04:20:22,Dubai
186FB52A,CUST-4192,PROD-582,N/A,312.97,0,JPY,CREDIT_CARD,,2026-05-09 04:42:18,Dubai
776A1569,CUST-8306,PROD-502,24,868.85,20852.4,USD,CASH,FAILED,2026-05-09 04:20:41,London
AB5605A7,CUST-7790,PROD-221,4,907.58,3630.32,NONE,DEBIT_CARD,,2026-05-09 04:57:33,London
4A7CE8C5,CUST-1475,PROD-932,25,652.74,16318.5,USD,DEBIT_CARD,,2026-05-09T04:15:41.197093,Dubai
374EB844,CUST-1319,PROD-331,17,865.27,14709.59,GBP,PAYPAL,REFUNDED,2026-05-09T04:43:31.197093,Tokyo
C1094222,CUST-5194,PROD-644,2,342.49,684.98,NONE,CREDIT_CARD,PENDING,2026-05-09T04:46:26.197093,Tokyo
99E751D3,CUST-2700,PROD-190,17,436.0,7412.0,EUR,DEBIT_CARD,FAILED,2026-05-09 04:41:07,New York
1CE1429E,CUST-7264,PROD-256,28,555.83,15563.24,USD,PAYPAL,PENDING,2026-05-09 04:17:38,London
8D076AA4,CUST-1232,PROD-438,N/A,345.41,0,,CASH,FAILED,2026-05-09 04:36:18,Tokyo
