name,price,rating,image
Sapiens: A Brief History of Humankind,Â£54.23,5,data/raw/images/5_star/sapiens_a_brief_history_of_humankind.png
Set Me Free,Â£17.46,5,data/raw/images/5_star/set_me_free.png
Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Â£52.29,5,data/raw/images/5_star/scott_pilgrim's_precious_little_life_(scott_pilgri.png
Rip it Up and Start Again,Â£35.02,5,data/raw/images/5_star/rip_it_up_and_start_again.png
Chase Me (Paris Nights #2),Â£25.27,5,data/raw/images/5_star/chase_me_(paris_nights_#2).png
Black Dust,Â£34.53,5,data/raw/images/5_star/black_dust.png
Worlds Elsewhere: Journeys Around Shakespeareâs Globe,Â£40.30,5,data/raw/images/5_star/worlds_elsewhere_journeys_around_shakespeareâs_.png
The Four Agreements: A Practical Guide to Personal Freedom,Â£17.66,5,data/raw/images/5_star/the_four_agreements_a_practical_guide_to_personal.png
The Elephant Tree,Â£23.82,5,data/raw/images/5_star/the_elephant_tree.png
Sophie's World,Â£15.94,5,data/raw/images/5_star/sophie's_world.png
Private Paris (Private #10),Â£47.61,5,data/raw/images/5_star/private_paris_(private_#10).png
#HigherSelfie: Wake Up Your Life. Free Your Soul. Find Your Tribe.,Â£23.11,5,data/raw/images/5_star/#higherselfie_wake_up_your_life._free_your_soul._.png
"We Love You, Charlie Freeman",Â£50.27,5,"data/raw/images/5_star/we_love_you,_charlie_freeman.png"
Thirst,Â£17.27,5,data/raw/images/5_star/thirst.png
