name,price,rating,image
Tipping the Velvet,Â£53.74,1,data/raw/images/1_star/tipping_the_velvet.png
Soumission,Â£50.10,1,data/raw/images/1_star/soumission.png
The Requiem Red,Â£22.65,1,data/raw/images/1_star/the_requiem_red.png
The Black Maria,Â£52.15,1,data/raw/images/1_star/the_black_maria.png
Olio,Â£23.88,1,data/raw/images/1_star/olio.png
Mesaerion: The Best Science Fiction Stories 1800-1849,Â£37.59,1,data/raw/images/1_star/mesaerion_the_best_science_fiction_stories_1800-1.png
In Her Wake,Â£12.84,1,data/raw/images/1_star/in_her_wake.png
The Bear and the Piano,Â£36.89,1,data/raw/images/1_star/the_bear_and_the_piano.png
"In a Dark, Dark Wood",Â£19.63,1,"data/raw/images/1_star/in_a_dark,_dark_wood.png"
When We Collided,Â£31.77,1,data/raw/images/1_star/when_we_collided.png
"Unbound: How Eight Technologies Made Us Human, Transformed Society, and Brought Our World to the Brink",Â£25.52,1,"data/raw/images/1_star/unbound_how_eight_technologies_made_us_human,_tra.png"
Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Â£16.28,1,data/raw/images/1_star/tsubasa_world_chronicle_2_(tsubasa_world_chronicl.png
The Torch Is Passed: A Harding Family Story,Â£19.09,1,data/raw/images/1_star/the_torch_is_passed_a_harding_family_story.png
The Secret of Dreadwillow Carse,Â£56.13,1,data/raw/images/1_star/the_secret_of_dreadwillow_carse.png
"The Pioneer Woman Cooks: Dinnertime: Comfort Classics, Freezer Food, 16-Minute Meals, and Other Delicious Ways to Solve Supper!",Â£56.41,1,data/raw/images/1_star/the_pioneer_woman_cooks_dinnertime_comfort_class.png
